,fem_mean,growing_index,man_mean,region_name,salary_mean,savings_mean,siblings_mean_income
3,815624.9233333333,,1320054.2593539327,Республика Адыгея,27469,,1176896.7957043878
81,1398141.5383695653,3.3,896006.1622857142,Ставропольский край,29065,,928014.0998536587
13,1025828.2312359549,-0.6,980853.4360034309,Республика Коми,50413,,815619.8478959807
106,1092208.9657758623,2.3,1208615.4360517797,Томская область,41901,,1121931.2703606961
35,635845.3537634409,3.9,11430611.705320511,Брянская область,27251,,8664626.822415993
56,1102828.0348148148,7.1,2875967.316691177,Ленинградская область,43631,,2306470.6716346154
89,2628498.238846154,2.2,1681186.5599543378,Челябинская область,35219,,1770038.1612808458
17,453542.3723809524,1.5,1134874.9060439556,Республика Северная Осетия — Алания,26958,,981980.3349999994
105,562626.8417391304,4.5,737364.6402372267,Оренбургская область,30371,,490007.1017355373
108,1151993.4919512193,1.1,1248339.317275986,Ханты-Мансийский автономный округ — Югра,,,1217458.2937831327
62,578400.6572839506,2.6,490745.8351585013,Республика Мордовия,26712,,480884.9995343137
104,1728871.4888235293,1.7,1514392.3833744854,Ямало-Ненецкий автономный округ,,,1409323.247008085
