,fem_mean,man_mean,mean,region_name,sibl_mean
43,878433.8131506853,2532386.1392048206,31207,Воронежская область,2121368.7083918676
101,722144.2678378376,505498.85988262895,31049,Тверская область,886915.0074319732
80,1113433.1748704666,1340613.0604992318,38052,Свердловская область,1162254.1584916462
37,1039881.1486086956,1173597.9525990502,48307,Архангельская область,1065313.6749280582
75,919734.2317460316,1444850.4108243727,26871,Псковская область,1444589.1085752682
72,571298.4932432432,1587285.6455393585,28968,Пензенская область,1317424.171696428
28,995446.2108108106,971625.6787283961,45635,Красноярский край,963710.2538909429
74,943135.5814935066,1323291.0092792793,42199,Приморский край,2567325.4254106916
93,890791.2498113208,2405163.099871795,39242,Еврейская автономная область,1881997.0262389376
103,662822.7484507042,918045.3687087094,31916,Рязанская область,791666.1757362643
46,764181.4235076268,767366.4394647641,33385,Калининградская область,658633.3174365113
5,655567.0902941176,1246837.2152663944,36047,Республика Бурятия,1055549.9677583477
8,660415.2987878788,282252.5019815669,25367,Республика Ингушетия,201710.77560679603
47,587641.3377419355,531289.849617225,26049,Республика Калмыкия,495004.95520599256
55,754350.9600000002,1023127.6091277266,29937,Курская область,947912.7149608358
29,856683.1819072163,1262882.8930272954,35802,Пермский край,1096969.3593829405
99,944140.1568539327,625046.2346078436,25729,Ивановская область,705542.1215690868
94,1295935.4082894737,1108453.521617021,77499,Сахалинская область,1113815.3670422544
67,694917.3439495802,830771.4876288656,31462,Новгородская область,684688.9911007462
85,1032938.6062121213,859807.9093385214,35779,Республика Тува (Тыва),847964.0196675896
107,461541.32207792206,965707.6578436653,33474,Ярославская область,834435.6845979381
50,710195.0354060914,635391.7285306113,38023,Кемеровская область,608834.2250241796
76,876117.5714000002,1890329.2825158252,31448,Ростовская область,1651767.8508750016
36,888272.1469911505,1164225.653029089,30460,Владимирская область,1054991.9063933725
27,1020307.0045033111,1245080.933366763,33846,Краснодарский край,1144179.889473685
42,659195.8105714286,621752.6222477875,35497,Вологодская область,587047.2051522841
20,762350.0591509432,1144542.062331378,31808,Удмуртская республика,1003717.9622260274
86,1338049.7825210087,1481560.572632979,68664,Тюменская область,1354305.0424593135
109,563553.0470000001,1159445.9929213482,29640,Республика Крым*,968526.4901612905
59,403201.73071428575,555485.7078640778,25155,Республика Дагестан,447441.66135766444
44,954462.112156863,767783.050349463,40740,Забайкальский край,767551.3176072233
12,866678.7024050638,1345015.0545977014,39402,Республика Карелия,1214326.111960352
95,2132149.3267567563,2054440.3701369865,98864,Чукотский автономный округ,1910395.9667910459
61,648028.2941935485,670076.4481462135,28143,Республика Марий Эл,655857.8458959531
65,878301.3695000004,1056553.5404320986,58045,Мурманская область,982154.7344208038
68,1137344.3581971829,1295399.8338487698,35686,Новосибирская область,1182804.311935678
63,1225947.3352831907,1421749.5567501588,83801,Москва,1359608.5702616677
100,959327.8618333332,654992.9475975975,29397,Смоленская область,658097.4649295777
84,862843.4455294118,5061212.985023929,34662,Тульская область,4411190.380958191
66,845428.8809999999,759782.1961209438,32949,Нижегородская область,1058005.9021378518
4,1477995.0787603313,853563.6185290768,33753,Республика Башкортостан,915923.0340692241
