,fem_mean,man_mean,mean,region_name,salary_mean,satisfying_index,savings_mean,siblings_mean_income
45,884744.0804166672,1294479.321511811,42647,Иркутская область,42647,4.1,1814035.0,1129253.2733920186
97,813533.8245023699,690294.2315514017,38197,Калужская область,38197,5.6,,694103.8338833742
70,547132.0365517242,666697.6379836507,27476,Орловская область,27476,3.2,,570243.8019734338
51,606506.509816514,776108.1172195892,27932,Кировская область,27932,3.3,,696211.0830461166
57,671709.3766666666,727583.3502689488,31622,Липецкая область,31622,5.7,,658236.5718984964
3,815624.9233333333,1320054.2593539327,27469,Республика Адыгея,27469,,,1176896.7957043878
81,1398141.5383695653,896006.1622857142,29065,Ставропольский край,29065,3.3,,928014.0998536587
13,1025828.2312359549,980853.4360034309,50413,Республика Коми,50413,-0.6,,815619.8478959807
106,1092208.9657758623,1208615.4360517797,41901,Томская область,41901,2.3,,1121931.2703606961
35,635845.3537634409,11430611.705320511,27251,Брянская область,27251,3.9,,8664626.822415993
56,1102828.0348148148,2875967.316691177,43631,Ленинградская область,43631,7.1,,2306470.6716346154
89,2628498.238846154,1681186.5599543378,35219,Челябинская область,35219,2.2,,1770038.1612808458
17,453542.3723809524,1134874.9060439556,26958,Республика Северная Осетия — Алания,26958,1.5,,981980.3349999994
105,562626.8417391304,737364.6402372267,30371,Оренбургская область,30371,4.5,,490007.1017355373
108,1151993.4919512193,1248339.317275986,,Ханты-Мансийский автономный округ — Югра,,1.1,,1217458.2937831327
62,578400.6572839506,490745.8351585013,26712,Республика Мордовия,26712,2.6,,480884.9995343137
104,1728871.4888235293,1514392.3833744854,,Ямало-Ненецкий автономный округ,,1.7,,1409323.247008085
